original_description,category,confidence,reasoning,keywords,amount,vendor,timestamp,error
Construction workers - Site preparation and excavation,LABOR,0.95,The description mentions 'Construction workers - Site preparation and excavation' which indicates labor costs for construction work.,"Construction workers, Site preparation, excavation",3500.0,BuildCorp Labor,2025-08-02T17:12:29.366940,False
Portland cement - 50 bags for foundation,MATERIALS,0.95,"The item 'Portland cement - 50 bags for foundation' is a raw material used in construction, specifically for building foundations.","Portland cement, 50 bags, foundation",485.0,Materials Plus,2025-08-02T17:12:35.923873,False
Crane rental - 8 hours for steel beam installation,EQUIPMENT,0.95,"The invoice line item is for a crane rental, which is a piece of equipment used in construction.","Crane rental, 8 hours, steel beam installation",1200.0,Heavy Equipment Rentals,2025-08-02T17:12:40.290715,False
Electrical subcontractor - Complete wiring installation,SUBCONTRACTOR,0.95,The description clearly mentions 'Electrical subcontractor' which indicates that this is a payment for a third-party contractor. The task performed ('Complete wiring installation') is a specific service provided by the subcontractor.,"Electrical subcontractor, Complete wiring installation",8750.0,PowerLine Electric,2025-08-02T17:12:43.163617,False
Business liability insurance premium - Q1 2024,INSURANCE,0.95,"The line item is a payment for a business liability insurance premium, which falls under the INSURANCE category.","Business liability insurance premium, SecureShield Insurance",2400.0,SecureShield Insurance,2025-08-02T17:12:45.641851,False
Monthly office rent - Main headquarters,RENT_FACILITIES,0.95,"The description clearly mentions that the expense is for the monthly rent of the main headquarters, which falls under the category of facility rent or real estate expenses.","Monthly, office rent, Main headquarters",4500.0,Downtown Properties LLC,2025-08-02T17:12:48.432386,False
Flight tickets for project site visit - Chicago to Denver,TRAVEL,0.95,"The invoice line item is related to travel expenses for a project site visit, which falls under the TRAVEL category.","Flight tickets, project site visit, Chicago to Denver",650.0,American Airlines,2025-08-02T17:12:51.812603,False
"Copy paper, pens, and office supplies",OFFICE_SUPPLIES,0.95,"The description mentions items that are typically used in an office setting, such as copy paper and pens, which are classified as office supplies.","Copy paper, pens, office supplies",127.5,Office Supply Store,2025-08-02T17:12:54.935248,False
Monthly electricity bill - Manufacturing facility,UTILITIES,0.95,"The description clearly states that it is a monthly electricity bill for a manufacturing facility, which falls under the utilities category.","Monthly, electricity bill, Manufacturing facility",1850.0,City Power Company,2025-08-02T17:12:57.872856,False
Building permit fees - Commercial construction,TAXES_FEES,0.95,"The line item refers to a fee for a building permit, which is a type of regulatory fee.","Building permit fees, Commercial construction",875.0,City Building Department,2025-08-02T17:13:00.397133,False
